active_emergency_steps,budget_exhausted_steps,controller,effective_emergency_steps,environment_seed,episode,final_active_mode,final_biosphere,final_effective_mode,final_institution,final_justice,final_pressure,final_trust,first_irreversible_step,irreversible_entry,justice_floor_violation,master_seed,max_unknown_streak,min_estimated_cr,min_justice,phase,remaining_budget,requested_emergency_steps,requested_normal_steps,requested_precaution_steps,scenario,total_cost,trigger,true_boundary,unknown_steps
31,6,threshold,27,9830937769054989219,0,1,0.420961598,2,0.411801645,0.893941702,0.897185835,0.968432704,-1,0,0,101,0,-13.0,0.626708728,evaluation,0.0,34,23,15,baseline,4.0,threshold,1.123961594,0
44,7,threshold_hysteresis,34,9830937769054989219,0,2,0.436150981,2,0.429404835,0.928304176,0.873826362,0.951432124,-1,0,0,101,0,-13.0,0.626708728,evaluation,0.0,47,23,2,baseline,4.0,threshold_hysteresis,1.123961594,0
29,4,reserve,22,9830937769054989219,0,2,0.495833114,2,0.418659443,0.83988457,0.855541495,0.93753847,-1,0,0,101,0,-11.126823063,0.651633897,evaluation,0.0,32,27,13,baseline,4.0,reserve,1.123961594,0
30,7,threshold,23,3510126486258644240,1,2,0.451367322,2,0.33456224,0.790919948,1.023527914,0.906880208,70,1,0,101,0,-11.756701172,0.617422225,evaluation,0.0,33,19,20,baseline,4.0,threshold,0.97852124,0
34,9,threshold_hysteresis,29,3510126486258644240,1,2,0.46479754,1,0.352036901,0.830359725,0.983093946,0.913928046,71,1,0,101,0,-11.756701172,0.617422225,evaluation,0.0,37,19,16,baseline,4.0,threshold_hysteresis,0.97852124,0
38,9,reserve,30,3510126486258644240,1,2,0.522136851,2,0.332731885,0.790619294,0.941661725,0.892833878,-1,0,0,101,0,-8.403653748,0.655833886,evaluation,0.0,41,24,7,baseline,4.0,reserve,0.97852124,0
19,2,threshold,17,3680923147352736697,2,1,0.481733693,1,0.499766729,0.804348671,0.803810996,0.973454693,-1,0,0,101,0,-12.838290292,0.632134448,evaluation,0.0,21,24,27,baseline,4.0,threshold,1.0837465,0
33,6,threshold_hysteresis,30,3680923147352736697,2,1,0.488486977,1,0.499603143,0.868400332,0.797864325,0.95608716,-1,0,0,101,0,-12.838290292,0.632134448,evaluation,0.0,34,24,14,baseline,4.0,threshold_hysteresis,1.0837465,0
28,0,reserve,24,3680923147352736697,2,2,0.52969201,2,0.508340282,0.780954719,0.801453425,0.957266229,-1,0,0,101,0,-13.0,0.652348638,evaluation,0.0266,31,31,10,baseline,3.9734,reserve,1.0837465,0
45,9,threshold,33,8423028471132188261,3,2,0.274968286,2,0.183798026,0.772509176,1.893117819,0.863441443,31,1,0,101,0,-13.0,0.539111816,evaluation,0.0,48,21,3,baseline,4.0,threshold,0.905868493,0
45,9,threshold_hysteresis,33,8423028471132188261,3,2,0.274968286,2,0.183798026,0.772509176,1.893117819,0.863441443,31,1,0,101,0,-13.0,0.539111816,evaluation,0.0,48,21,3,baseline,4.0,threshold_hysteresis,0.905868493,0
32,9,reserve,23,8423028471132188261,3,2,0.535689853,2,0.136147165,0.655934851,0.910627927,0.784543938,71,1,0,101,0,-9.424964784,0.62478041,evaluation,0.0,35,19,18,baseline,4.0,reserve,0.905868493,0
14,1,threshold,14,11541588698610642307,4,0,0.530090101,1,0.619956528,0.912990547,0.692138466,0.999466554,-1,0,0,101,0,-13.0,0.671143441,evaluation,0.0,14,26,32,baseline,4.0,threshold,1.091740243,0
20,4,threshold_hysteresis,20,11541588698610642307,4,1,0.548901407,1,0.622529667,0.948025989,0.665487578,0.981723397,-1,0,0,101,0,-13.0,0.671143441,evaluation,0.0,20,23,29,baseline,4.0,threshold_hysteresis,1.091740243,0
31,0,reserve,27,11541588698610642307,4,2,0.604815248,2,0.688504685,0.942513502,0.656218397,1.0,-1,0,0,101,0,-8.932932956,0.671143441,evaluation,0.0832,34,34,4,baseline,3.9168,reserve,1.091740243,0
47,11,threshold,33,5429310486370242923,5,2,0.294785081,2,0.0,0.660180196,1.453972133,0.709154401,62,1,0,101,0,-12.255363889,0.564744453,evaluation,0.0,50,17,5,baseline,4.0,threshold,1.034801635,0
48,11,threshold_hysteresis,34,5429310486370242923,5,2,0.313111826,2,0.0,0.67589758,1.378823192,0.724012284,64,1,0,101,0,-12.255363889,0.566507438,evaluation,0.0,51,17,4,baseline,4.0,threshold_hysteresis,1.034801635,0
48,12,reserve,33,5429310486370242923,5,2,0.340524878,2,0.0,0.617909941,1.486142971,0.6796739,58,1,0,101,0,-12.0,0.603589168,evaluation,0.0,51,16,5,baseline,4.0,reserve,1.034801635,0
