active_mode,attempted_capture,backlash,biosphere,boundary_uncertainty,budget_exhausted,command_audit,command_policy,command_support,controller,cooperation_rate,curtailment_factor,defective_rate,effective_audit,effective_capture,effective_mode,effective_policy,effective_support,episode,estimated_cr,estimated_response_steps,evidence_status,institution,irreversible,justice,master_seed,nominal_cost,normal_release_streak,observed_at_step,observed_pressure,observed_trend,pending_due_step,pending_effect_count,pending_mode,pending_transition_count,perceived_improvement,performative_gap,phase,precaution_release_streak,pressure,pressure_before,reason,release_streak,remaining_budget,requested_mode,response_status,scenario,step_cost,t,trigger,true_boundary,trust,unknown_streak
0,0.490733731,0.0,0.813771974,0.24,0,0.12,0.12,0.12,threshold,0.248891391,1.0,0.751108609,0.0,0.151573305,0,0.0,0.0,0,45.048889935,14.0,sufficient_evidence,0.630139916,0,0.676326475,101,0.0,0,0,0.266735874,0.009,,1,,0,0.0,0.418816202,evaluation,0,0.310697876,0.3,pressure_threshold,0,4.0,0,available,baseline,0.0,0,threshold,1.123961594,0.691211554,0
0,0.60443921,0.0,0.804936442,0.24,0,0.24,0.14,0.18,threshold,0.014194125,1.0,0.985805875,0.0,0.186867467,0,0.0,0.0,0,27.491328261,14.0,sufficient_evidence,0.618294997,0,0.671071091,101,0.0,0,1,0.286817427,0.012324466,,2,,0,0.0,0.559870278,evaluation,0,0.339262262,0.310697876,pressure_threshold,0,4.0,0,available,baseline,0.0,1,threshold,1.123961594,0.679370003,0
0,0.542440234,0.0,0.798644657,0.24,0,0.36,0.14,0.18,threshold,0.114301369,1.0,0.885698631,0.0,0.167923685,0,0.0,0.0,0,0.546480613,14.0,sufficient_evidence,0.608110052,0,0.667779693,101,0.0,0,2,0.358754069,0.030208119,,3,,0,0.0,0.523528439,evaluation,0,0.348713334,0.339262262,pressure_threshold,0,4.0,0,available,baseline,0.0,2,threshold,1.123961594,0.669438058,0
0,0.541410718,0.0,0.793955678,0.24,0,0.48,0.14,0.18,threshold,0.133070863,1.0,0.866929137,0.0,0.16774513,0,0.0,0.0,0,17.520687459,14.0,sufficient_evidence,0.598575988,0,0.66569787,101,0.0,0,3,0.337034466,0.014629802,,4,,0,0.021719604,0.461288895,evaluation,0,0.359636372,0.348713334,pressure_threshold,0,4.0,0,available,baseline,0.0,3,threshold,1.123961594,0.661060918,0
0,0.68065961,0.00672729,0.788527045,0.24,0,0.6,0.14,0.18,threshold,0.224006665,1.0,0.775993335,0.12,0.200967595,0,0.12,0.12,0,8.34584932,14.0,sufficient_evidence,0.587509453,0,0.662520111,101,0.0132,0,4,0.36718868,0.019287126,,4,,0,0.0,0.457144915,evaluation,0,0.37183775,0.359636372,pressure_threshold,0,3.9868,0,available,baseline,0.0132,4,threshold,1.123961594,0.653491792,0
0,0.694996311,0.000758466,0.782096518,0.24,0,0.72,0.14,0.18,threshold,0.182556738,1.0,0.817443262,0.24,0.195937728,0,0.14,0.18,0,23.833646607,13.0,sufficient_evidence,0.577143172,0,0.660027733,101,0.0186,0,5,0.361686364,0.011850293,,4,,0,0.005502315,0.393954526,evaluation,0,0.394174566,0.37183775,pressure_threshold,0,3.9682,0,available,baseline,0.0186,5,threshold,1.123961594,0.647816772,0
0,0.140361103,0.000793359,0.775622143,0.24,0,0.78,0.14,0.18,threshold,0.561754799,1.0,0.438245201,0.36,0.037865201,0,0.14,0.18,0,3.24104068,13.0,sufficient_evidence,0.573202527,0,0.658924428,101,0.021,0,6,0.413074428,0.023711624,,4,,0,0.0,0.274915352,evaluation,0,0.40746462,0.394174566,pressure_threshold,0,3.9472,0,available,baseline,0.021,6,threshold,1.123961594,0.6458655,0
0,0.711199418,0.000808805,0.768109225,0.24,0,0.78,0.14,0.18,threshold,0.114301369,1.0,0.885698631,0.48,0.183875181,0,0.14,0.18,0,43.508635462,13.0,sufficient_evidence,0.56431709,0,0.656370743,101,0.0234,0,7,0.382280175,0.007359861,,4,,0,0.030794253,0.310759817,evaluation,0,0.419628927,0.40746462,pressure_threshold,0,3.9238,0,available,baseline,0.0234,7,threshold,1.123961594,0.641251429,0
0,0.770556556,0.000844557,0.759279594,0.24,0,0.78,0.14,0.18,threshold,0.097197992,1.0,0.902802008,0.6,0.191317897,0,0.14,0.18,0,10.620644405,13.0,sufficient_evidence,0.555234841,0,0.652911948,101,0.0258,0,8,0.418663728,0.016066969,,4,,0,0.0,0.326997289,evaluation,0,0.448537853,0.419628927,pressure_threshold,0,3.898,0,available,baseline,0.0258,8,threshold,1.123961594,0.635773849,0
0,0.688915222,0.00089298,0.752449891,0.24,0,0.78,0.14,0.18,threshold,0.257792568,1.0,0.742207432,0.72,0.16454977,0,0.14,0.18,0,-3.913725178,13.0,sufficient_evidence,0.548314318,0,0.650894804,101,0.0282,0,9,0.493094399,0.033576079,,4,,0,0.0,0.265576511,evaluation,0,0.468286602,0.448537853,pressure_threshold,0,3.8698,0,available,baseline,0.0282,9,threshold,1.123961594,0.632225391,0
0,0.129095895,0.00092122,0.750374052,0.24,0,0.78,0.14,0.18,threshold,0.719052015,1.0,0.280947985,0.78,0.030261907,0,0.14,0.18,0,33.121294417,13.0,sufficient_evidence,0.548187684,0,0.652898959,101,0.0294,0,10,0.440593812,0.00775308,,4,,0,0.052500586,0.070984884,evaluation,0,0.473123594,0.468286602,pressure_threshold,0,3.8404,0,available,baseline,0.0294,10,threshold,1.123961594,0.634856135,0
0,0.701513911,0.000893162,0.744837514,0.24,0,0.78,0.14,0.18,threshold,0.258519455,1.0,0.741480545,0.78,0.164381474,0,0.14,0.18,0,61.231490351,13.0,sufficient_evidence,0.542175221,0,0.652048182,101,0.0294,0,11,0.43864775,0.004843337,,4,,0,0.001946062,0.242653609,evaluation,0,0.496323481,0.473123594,pressure_threshold,0,3.811,0,available,baseline,0.0294,11,threshold,1.123961594,0.632361785,0
0,0.772012934,0.000905073,0.736579524,0.24,0,0.78,0.14,0.18,threshold,0.082567369,1.0,0.917432631,0.78,0.180930658,0,0.14,0.18,0,1.217745226,13.0,sufficient_evidence,0.53479521,0,0.649720149,101,0.0294,0,12,0.497775209,0.021128573,,4,,0,0.0,0.279150122,evaluation,0,0.515278929,0.496323481,pressure_threshold,0,3.7816,0,available,baseline,0.0294,12,threshold,1.123961594,0.628300963,0
0,0.224188121,0.000937665,0.731534824,0.24,0,0.78,0.14,0.18,threshold,0.471798826,1.0,0.528201174,0.78,0.052564741,0,0.14,0.18,0,4.516647892,13.0,sufficient_evidence,0.533246474,0,0.650547813,101,0.0294,0,13,0.504382637,0.01677223,,4,,0,0.0,0.220908584,evaluation,0,0.523901499,0.515278929,pressure_threshold,0,3.7522,0,available,baseline,0.0294,13,threshold,1.123961594,0.628154659,0
0,0.627433522,0.000926078,0.725632735,0.24,0,0.78,0.14,0.18,threshold,0.24844602,1.0,0.75155398,0.78,0.147089118,0,0.14,0.18,0,4.581377755,13.0,sufficient_evidence,0.527954613,0,0.65013077,101,0.0294,0,14,0.518308721,0.015918386,,4,,0,0.0,0.24858149,evaluation,0,0.546919064,0.523901499,pressure_threshold,0,3.7228,0,available,baseline,0.0294,14,threshold,1.123961594,0.626027506,0
0,0.722640959,0.000931916,0.718860848,0.24,0,0.78,0.14,0.18,threshold,0.113169391,1.0,0.886830609,0.78,0.169422161,0,0.14,0.18,0,12.693093472,13.0,sufficient_evidence,0.521745601,0,0.649406397,101,0.0294,0,15,0.517570584,0.010921429,,4,,0,0.000738137,0.274835652,evaluation,0,0.571678816,0.546919064,pressure_threshold,0,3.6934,0,available,baseline,0.0294,15,threshold,1.123961594,0.623186742,0
