fuel_code,name_ja,family,input_tj_hhv,reported_carbon_tc,reconstructed_carbon_tc,residual_tc,reported_carbon_full_co2_equivalent_tco2,one_tj_full_carbon_co2_equivalent_tco2,status,balance_cell,cef_cell
$0123,発電用一般炭,coal,2494789.895819999,61768966.301861074,61768966.301861069,-0.000000005,226486209.773490605,90.783680883,RECONCILED,N58,AR12
$0211,コークス,coal_product,352.916486028,10486.179388886,10486.179388886,0.000000000,38449.324425916,108.947374090,RECONCILED,T58,AR16
$0221,コークス炉ガス,coal_product,21783.171918605,235122.428191936,235122.428191936,0.000000000,862115.570037097,39.577136574,RECONCILED,X58,AR19
$0224,発電用高炉ガス,coal_product,80649.389460432,2102059.598123924,,,7707551.859787723,,COEFFICIENT_MAPPING_UNKNOWN,AA58,
$0225,転炉ガス,coal_product,4524.650003132,189714.539098835,189714.539098835,0.000000000,695619.976695730,153.740063036,RECONCILED,AB58,AR21
$0320,発電用原油,oil,442.451430000,8471.751744934,8471.751744934,0.000000000,31063.089731424,70.206778926,RECONCILED,AH58,AR27
$0321,瀝青質混合物,oil,0.157080000,3.135316800,3.135316800,0.000000000,11.496161600,73.186666667,RECONCILED,AI58,AR28
$0332,発電用NGLコンデンセート,oil,501.476618954,9146.777251421,9146.777251421,0.000000000,33538.183255210,66.878857334,RECONCILED,AL58,AR31
$0421,改質生成油,oil_product,11.410863448,219.379772465,219.379772465,0.000000000,804.392499040,70.493569808,RECONCILED,BA58,AR36
$0433,灯油,oil_product,1513.392809460,28257.518268899,28257.518268899,0.000000000,103610.900319295,68.462661955,RECONCILED,BE58,AR41
$0434,軽油,oil_product,3299.604567768,61932.365985056,61951.182498385,18.816513328,227085.341945207,,REJECT_COEFFICIENT_MISMATCH,BF58,AR42
$0436,A重油,oil_product,17892.565998008,343225.590106203,343225.590106203,0.000000000,1258493.830389412,70.336129012,RECONCILED,BH58,AR44
$0440,発電用C重油,oil_product,55631.092318532,1105992.391836212,1105992.391836212,0.000000000,4055305.436732777,72.896383438,RECONCILED,BL58,AR47
$0453,アスファルト,oil_product,15073.784030816,313097.876071546,,,1148025.545595667,,COEFFICIENT_MAPPING_UNKNOWN,BP58,
$0454,他重質石油製品,oil_product,10.631127119,220.819358586,,,809.670981482,,COEFFICIENT_MAPPING_UNKNOWN,BQ58,
$0455,オイルコークス,oil_product,10100.669960668,250480.680339945,250480.680339945,0.000000000,918429.161246466,90.927548848,RECONCILED,BR58,AR51
$0457,製油所ガス,oil_product,33235.114917576,479936.534198736,479936.534198736,0.000000000,1759767.292062030,52.949035874,RECONCILED,BT58,AR53
$0458,LPG,oil_product,977.150129911,15963.849623434,15963.849623434,0.000000000,58534.115285926,59.902888506,RECONCILED,BU58,AR54
$0510,輸入天然ガス,natural_gas,2095081.168367513,28996113.210900079,28996113.210900080,0.000000001,106319081.773300290,50.746998913,RECONCILED,BY58,AR57
$0521,ガス田随伴ガス,natural_gas,2596.849128263,36106.432212909,36106.432212909,0.000000000,132390.251447333,50.981110149,RECONCILED,CA58,AR59
$0610,一般ガス,city_gas,158043.977357828,2209892.870704770,2209892.870704770,0.000000000,8102940.525917491,51.270163289,RECONCILED,CE58,AR63
