arm,episode,environment_seed,true_boundary,irreversible_entry,first_irreversible_step,final_pressure,final_biosphere,final_institution,final_trust,final_justice,min_hidden_cr,min_estimated_cr,cumulative_performative_gap,capture_absorption,justice_stability,defective_action_rate,false_positive_rate,false_negative_rate,emergency_trigger_rate,mean_response_delay,mean_estimation_error,final_mode
weak_coupling,0,18159670463357312742,0.9429685093,1,19,3.1294068200,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-16.9879377509,-15.1678015633,34.2902283043,0.2042080807,0.1159216430,0.8113220305,0.0000000000,0.9027777778,0.0000000000,0.0000000000,10.5272594290,0
nominal_trigger,0,18159670463357312742,0.9429685093,1,20,2.9074015071,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-18.9049035739,-16.8793781909,31.8067395783,0.3829995016,0.0136235754,0.7341042854,0.0000000000,0.0972222222,0.7083333333,7.5000000000,10.4992992680,2
robust_reserve,0,18159670463357312742,0.9429685093,1,41,1.6953743929,0.3458856135,0.0000000000,0.0282994556,0.1861924061,-13.5684684936,-13.5684684936,17.6364786943,0.6957150890,0.2433928666,0.4320275169,0.5277777778,0.0000000000,0.5000000000,4.4615384615,17.6791122802,3
full_rvcim,0,18159670463357312742,0.9429685093,1,66,0.9288908171,0.5542053818,0.0000000000,0.0198266505,0.4003784383,-9.7855404337,-11.0444751157,13.3521068530,0.7721724627,0.4005636917,0.3537829878,0.9166666667,0.0000000000,0.1527777778,3.5384615385,36.8728675449,1
weak_coupling,1,1066458971627894647,0.8893637509,1,28,2.7885329314,0.0000000000,0.0000000000,0.0000000000,0.0834195438,-15.6092100153,-13.9367946566,27.6567172174,0.2155802069,0.3030864174,0.7384022564,0.0000000000,0.8750000000,0.0000000000,0.0000000000,11.8504646582,0
nominal_trigger,1,1066458971627894647,0.8893637509,1,29,2.5270285318,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-16.1749735836,-14.4419406996,25.1109842031,0.3910613170,0.2147026101,0.6466183727,0.0000000000,0.1250000000,0.6250000000,6.2500000000,11.9767730980,2
robust_reserve,1,1066458971627894647,0.8893637509,1,46,1.3537469989,0.4805648560,0.0000000000,0.1192210127,0.6060949739,-11.4452003248,-11.4452003248,15.3476245524,0.7061088949,0.4827192885,0.3806128421,0.6250000000,0.0000000000,0.3611111111,4.1428571429,18.1962076481,3
full_rvcim,1,1066458971627894647,0.8893637509,0,72,0.6847188549,0.6103212564,0.0000000000,0.0000000000,0.7244014666,12.8450312936,-0.2351432909,12.7034955759,0.7787424601,0.5811215901,0.3500594324,1.0000000000,0.0000000000,0.0277777778,3.4000000000,32.8949613156,1
weak_coupling,2,3075999084060838787,1.0173100750,1,24,2.9212404342,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-16.0298758007,-14.3123891077,24.8887612667,0.2126732550,0.2390687396,0.7161692225,0.0000000000,0.8472222222,0.0000000000,0.0000000000,8.1458328997,0
nominal_trigger,2,3075999084060838787,1.0173100750,1,29,2.5711755486,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-16.6725031782,-14.8861635519,22.7829016575,0.3922036038,0.1479639315,0.6287176917,0.0000000000,0.0416666667,0.6805555556,6.7500000000,8.0829641808,2
