arm,episode,t,true_boundary,pressure,observed_pressure,biosphere,institution,trust,justice,policy,support,audit,mode,mode_name,estimated_cr,hidden_cr,attempted_capture,effective_capture,cooperation_rate,defective_rate,performative_gap,backlash,irreversible
weak_coupling,0,0,0.9429685093,0.3254091441,0.2704278385,0.8153728994,0.6006648618,0.6753798070,0.6631225696,0.0485000000,0.0700000000,0.0733284000,0,adaptive_normal,192.9921524884,28.8358087288,1.0195685121,0.8515054582,0.1186297035,0.8813702965,0.5380280470,0.0227584590,0
weak_coupling,0,1,0.9429685093,0.3451033338,0.2092484118,0.8088867038,0.5608610399,0.6498152962,0.6454041005,0.0471758398,0.0700000000,0.0811222811,0,adaptive_normal,210.3756044774,22.5637565822,1.0284914920,0.8523981588,0.0281858580,0.9718141420,0.5687789418,0.0221164609,0
weak_coupling,0,2,0.9429685093,0.3645269232,0.3133790859,0.8018554600,0.5212850555,0.6242907560,0.6275797354,0.0459982311,0.0700000000,0.0879655134,0,adaptive_normal,25.7382321616,18.7654553849,1.0245259841,0.8435814678,0.0364922313,0.9635077687,0.5654228411,0.0215455159,0
weak_coupling,0,3,0.9429685093,0.3785481754,0.3659263341,0.7970844372,0.4919989869,0.6054768180,0.6153422956,0.0449444029,0.0700000000,0.0940174229,0,adaptive_normal,9.3933763721,20.5345555212,0.7541844624,0.6174974606,0.2359843603,0.7640156397,0.4794174796,0.0210345839,0
weak_coupling,0,4,0.9429685093,0.4035114213,0.3951972687,0.7891436021,0.4526687403,0.5799215174,0.5974030900,0.0440417226,0.0700000000,0.1000136865,0,adaptive_normal,7.1001118013,13.0756589171,1.0241979837,0.8337115643,0.0221383302,0.9778616698,0.5678875786,0.0205969336,0
weak_coupling,0,5,0.9429685093,0.4242782579,0.4354838411,0.7808961728,0.4135172211,0.5544829531,0.5794886562,0.0431769283,0.0700000000,0.1047513037,0,adaptive_normal,3.3457375481,10.9708066450,1.0213604513,0.8279484791,0.0275004310,0.9724995690,0.5633236777,0.0201776518,0
weak_coupling,0,6,0.9429685093,0.4477733075,0.4097783340,0.7745335642,0.3754159208,0.5302593231,0.5632838104,0.0423851639,0.0700000000,0.1089547673,0,adaptive_normal,25.8344967363,8.0945265694,1.0188072593,0.8229282488,0.0230351154,0.9769648846,0.5603392649,0.0197937773,0
weak_coupling,0,7,0.9429685093,0.4774553149,0.3751432931,0.7686488327,0.3355499051,0.4822091940,0.5463809972,0.0416544794,0.0700000000,0.1126925681,0,adaptive_normal,162.5662208627,3.8983726264,1.0181462413,0.8198028723,0.0394083249,0.9605916751,0.5532125031,0.0894395165,0
weak_coupling,0,8,0.9429685093,0.4999179882,0.4270602544,0.7595934912,0.2947731622,0.4328851610,0.5273239901,0.0409626925,0.0700000000,0.1159525836,0,adaptive_normal,22.3174378107,3.0737655450,1.0088052574,0.8101658566,0.0724372744,0.9275627256,0.5463543583,0.0891041145,0
weak_coupling,0,9,0.9429685093,0.5215386878,0.4612546507,0.7541811718,0.2556407753,0.3858574750,0.5110838857,0.0403124911,0.0700000000,0.1188602707,0,adaptive_normal,10.8117063570,2.4000653040,1.0026008615,0.8034724095,0.1175892923,0.8824107077,0.5160394236,0.0887888746,0
weak_coupling,0,10,0.9429685093,0.5505976882,0.5217709540,0.7464586124,0.2241398934,0.3426718420,0.4967465391,0.0396962779,0.0700000000,0.1214571428,0,adaptive_normal,0.5627663933,0.5250900390,0.7459118350,0.5966116694,0.2713213701,0.7286786299,0.4507097964,0.0884901134,0
weak_coupling,0,11,0.9429685093,0.5705280013,0.5155341328,0.7374207473,0.1930281607,0.2993164923,0.4820994506,0.0391723331,0.0700000000,0.1240291200,0,adaptive_normal,8.8272232052,0.6195332770,0.7230170949,0.5771471257,0.2791246323,0.7208753677,0.4614759202,0.0882360870,0
weak_coupling,0,12,0.9429685093,0.5898141776,0.6244063432,0.7315704827,0.1765728671,0.2659391378,0.4753306636,0.0386752607,0.0700000000,0.1263515178,0,adaptive_normal,-4.8477345850,1.8940153107,0.3161613081,0.2519427857,0.5616219941,0.4383780059,0.3023143825,0.0879950893,0
weak_coupling,0,13,0.9429685093,0.6136120252,0.5814466164,0.7226967654,0.1446229073,0.2224142984,0.4607165959,0.0383072086,0.0700000000,0.1287781477,0,adaptive_normal,6.2984246280,-1.0678848842,0.7536672020,0.5992624270,0.2255548905,0.7744451095,0.4610879175,0.0878166451,0
weak_coupling,0,14,0.9429685093,0.6382110478,0.6130686456,0.7131063655,0.1042268951,0.1737853858,0.4425114522,0.0378352519,0.0700000000,0.1306424823,0,adaptive_normal,1.2382808111,-3.4528553676,1.0053489678,0.7983977075,0.0597180113,0.9402819887,0.5428989337,0.0875878243,0
weak_coupling,0,15,0.9429685093,0.6586323919,0.6568312028,0.7042196521,0.0728085752,0.1307387537,0.4284449668,0.0373046900,0.0700000000,0.1321464471,0,adaptive_normal,-2.7725228991,-3.0892815863,0.7389267456,0.5864188681,0.2649978331,0.7350021669,0.4605005130,0.0873305898,0
weak_coupling,0,16,0.9429685093,0.6816644201,0.6330344180,0.6951489398,0.0326697091,0.0825957481,0.4110644564,0.0368473944,0.0700000000,0.1336434475,0,adaptive_normal,11.4155672101,-5.2153451435,1.0070826216,0.7985325034,0.0331187982,0.9668812018,0.5476947010,0.0871088772,0
weak_coupling,0,17,0.9429685093,0.7050039521,0.7190081154,0.6847048511,0.0000000000,0.0341855332,0.3926422890,0.0363228200,0.0700000000,0.1348434084,0,adaptive_normal,-7.2883764035,-6.4396743465,0.9990184008,0.7918194056,0.1013127663,0.8986872337,0.5167135927,0.0868545456,0
weak_coupling,0,18,0.9429685093,0.7274687656,0.7217391888,0.6747622250,0.0000000000,0.0000000000,0.3749962995,0.0358044926,0.0700000000,0.1359268143,0,adaptive_normal,-4.5310321898,-7.5165812496,1.0121641810,0.8020529565,0.0000000000,1.0000000000,0.5608498748,0.0866032428,0
weak_coupling,0,19,0.9429685093,0.7600286094,0.7159318825,0.6660144857,0.0000000000,0.0000000000,0.3583253324,0.0353204674,0.0700000000,0.1369584910,0,adaptive_normal,2.0846095848,-9.8317891800,0.9974476346,0.7902209472,0.0860783409,0.9139216591,0.5212628301,0.0863685708,1
weak_coupling,0,20,0.9429685093,0.8002349238,0.7337578192,0.6553812048,0.0000000000,0.0000000000,0.3406947227,0.0348746342,0.0700000000,0.1379516991,0,adaptive_normal,0.4689330707,-12.2414951310,1.0074889051,0.7979980032,0.0096041524,0.9903958476,0.5556574555,0.0861524156,1
weak_coupling,0,21,0.9429685093,0.8362838134,0.8539852911,0.6449532557,0.0000000000,0.0000000000,0.3268859301,0.0344584724,0.0700000000,0.1388985711,0,adaptive_normal,-11.3212413130,-12.6225673781,0.7045584614,0.5579843408,0.3596048534,0.6403951466,0.4196342815,0.0859506461,1
weak_coupling,0,22,0.9429685093,0.8827348829,0.8768990511,0.6340369744,0.0000000000,0.0000000000,0.3097396683,0.0341476312,0.0700000000,0.1399104591,0,adaptive_normal,-12.1715168852,-15.2355678461,0.9792341682,0.7752202856,0.0854780295,0.9145219705,0.5330741775,0.0857999397,1
weak_coupling,0,23,0.9429685093,0.9261648762,0.9142504079,0.6216600177,0.0000000000,0.0000000000,0.2914892257,0.0337909291,0.0700000000,0.1407828336,0,adaptive_normal,-13.1030666935,-16.5156980721,0.9956685336,0.7881694624,0.0875993841,0.9124006159,0.5192947044,0.0856269983,1
weak_coupling,0,24,0.9429685093,0.9740827849,0.8808876214,0.6085238681,0.0000000000,0.0000000000,0.2731789662,0.0334557363,0.0700000000,0.1416121720,0,adaptive_normal,-8.6881775002,-16.9647099421,0.9990850259,0.7908887843,0.0335479588,0.9664520412,0.5430022324,0.0854644854,1
weak_coupling,0,25,0.9429685093,1.0160204609,1.0047465568,0.5944682321,0.0000000000,0.0000000000,0.2544063448,0.0331437494,0.0700000000,0.1424047094,0,adaptive_normal,-15.1504177547,-16.9684678853,1.0002520021,0.7918593324,0.0390448295,0.9609551705,0.5465685342,0.0853132235,1
weak_coupling,0,26,0.9429685093,1.0620370571,1.0346030898,0.5825950749,0.0000000000,0.0000000000,0.2376498831,0.0328538619,0.0700000000,0.1431627605,0,adaptive_normal,-15.1678015633,-16.9879377509,1.0060165996,0.7965153884,0.0000000000,1.0000000000,0.5579955201,0.0851726761,1
weak_coupling,0,27,0.9429685093,1.1047376642,1.0856795683,0.5685784705,0.0000000000,0.0000000000,0.2251235552,0.0325831958,0.0700000000,0.1438865434,0,adaptive_normal,-13.8292953180,-15.4888107561,0.5611965319,0.4443528770,0.3721167159,0.6278832841,0.3813124132,0.0850414479,1
weak_coupling,0,28,0.9429685093,1.1516474154,1.0715325346,0.5545140585,0.0000000000,0.0000000000,0.2073063609,0.0324560783,0.0700000000,0.1446976179,0,adaptive_normal,-15.1388751817,-16.9555402035,0.9967293280,0.7890148380,0.0378503424,0.9621496576,0.5455587758,0.0849798170,1
weak_coupling,0,29,0.9429685093,1.2067635852,1.1230676849,0.5397006379,0.0000000000,0.0000000000,0.1893112839,0.0322166312,0.0700000000,0.1453578488,0,adaptive_normal,-15.1552472577,-16.9738769286,1.0020859989,0.7933904903,0.0089918003,0.9910081997,0.5529596040,0.0848637248,1
weak_coupling,0,30,0.9429685093,1.2544949521,1.2464330375,0.5258923652,0.0000000000,0.0000000000,0.1723328476,0.0319928359,0.0700000000,0.1459882756,0,adaptive_normal,-15.1522558097,-16.9705265069,1.0009614029,0.7926660850,0.0252657820,0.9747342180,0.5468682670,0.0847552212,1
weak_coupling,0,31,0.9429685093,1.2979264450,1.2500891696,0.5118606145,0.0000000000,0.0000000000,0.1609151359,0.0317853859,0.0700000000,0.1465917875,0,adaptive_normal,-13.8775670374,-15.5428750818,0.5773342173,0.4572799011,0.3393277935,0.6606722065,0.3869190605,0.0846546424,1
weak_coupling,0,32,0.9429685093,1.3365696299,1.3114487140,0.4982093659,0.0000000000,0.0000000000,0.1498501362,0.0317164786,0.0700000000,0.1472631433,0,adaptive_normal,-13.8497478696,-15.5117176140,0.5682020145,0.4499784093,0.4105846087,0.5894153913,0.3569876458,0.0846212337,1
weak_coupling,0,33,0.9429685093,1.3838662972,1.3465010587,0.4814486846,0.0000000000,0.0000000000,0.1315240005,0.0316556945,0.0700000000,0.1479028298,0,adaptive_normal,-15.1526881520,-16.9710107302,1.0013238730,0.7928744927,0.0149707410,0.9850292590,0.5497249557,0.0845917635,1
weak_coupling,0,34,0.9429685093,1.4253980113,1.3844990809,0.4672899917,0.0000000000,0.0000000000,0.1184609644,0.0314723991,0.0700000000,0.1484238473,0,adaptive_normal,-14.3565535185,-16.0793399408,0.7365505494,0.5834168285,0.2697504625,0.7302495375,0.4413367399,0.0845028957,1
weak_coupling,0,35,0.9429685093,1.4709797517,1.4679032688,0.4543192527,0.0000000000,0.0000000000,0.1064478125,0.0313808192,0.0700000000,0.1489730272,0,adaptive_normal,-14.3491773473,-16.0710786290,0.7340925347,0.5815014366,0.3088840562,0.6911159438,0.4192877424,0.0844584946,1
weak_coupling,0,36,0.9429685093,1.5151087868,1.4901347093,0.4383394399,0.0000000000,0.0000000000,0.0929409431,0.0312969325,0.0700000000,0.1494966003,0,adaptive_normal,-14.3240915642,-16.0429825519,0.7257661435,0.5749234612,0.2664463166,0.7335536834,0.4517290215,0.0844178235,1
weak_coupling,0,37,0.9429685093,1.5657487956,1.5470880625,0.4207656520,0.0000000000,0.0000000000,0.0785920287,0.0312219249,0.0700000000,0.1499967603,0,adaptive_normal,-14.3559008913,-16.0786089983,0.7362673133,0.5833153909,0.2208022611,0.7791977389,0.4687975463,0.0843814572,1
weak_coupling,0,38,0.9429685093,1.6075659042,1.5754490327,0.4041785253,0.0000000000,0.0000000000,0.0652305096,0.0311494508,0.0700000000,0.1504713561,0,adaptive_normal,-14.3194151709,-16.0377449914,0.7240346786,0.5737342286,0.2711264492,0.7288735508,0.4489238061,0.0843463193,1
weak_coupling,0,39,0.9429685093,1.6607456154,1.5856075279,0.3846971560,0.0000000000,0.0000000000,0.0466115652,0.0310861495,0.0700000000,0.1509253441,0,adaptive_normal,-15.1283941056,-16.9438013982,0.9925514981,0.7866411902,0.0547568417,0.9452431583,0.5383632778,0.0843156286,1
weak_coupling,0,40,0.9429685093,1.7065001785,1.7130597934,0.3649039142,0.0000000000,0.0000000000,0.0278686392,0.0309461764,0.0700000000,0.1513173917,0,adaptive_normal,-15.1189813754,-16.9332591405,0.9889967999,0.7842034455,0.1056087562,0.8943912438,0.5085812816,0.0842477649,1
weak_coupling,0,41,0.9429685093,1.7543967174,1.7340943668,0.3487430489,0.0000000000,0.0000000000,0.0154679425,0.0308172222,0.0700000000,0.1516929500,0,adaptive_normal,-14.3635130964,-16.0871346680,0.7379426262,0.5854322002,0.2503456298,0.7496543702,0.4435244939,0.0841852435,1
weak_coupling,0,42,0.9429685093,1.7888252676,1.7655012771,0.3312633307,0.0000000000,0.0000000000,0.0025911292,0.0307747363,0.0700000000,0.1520867243,0,adaptive_normal,-14.3352860432,-16.0555203684,0.7284613499,0.5780159538,0.2522617412,0.7477382588,0.4612517284,0.0841646448,1
weak_coupling,0,43,0.9429685093,1.8263592420,1.7738247317,0.3130240144,0.0000000000,0.0000000000,0.0000000000,0.0307383690,0.0700000000,0.1524630592,0,adaptive_normal,-15.0444558610,-16.8497905643,0.9634569929,0.7646497982,0.1503796528,0.8496203472,0.4981843184,0.0841470127,1
weak_coupling,0,44,0.9429685093,1.8716956356,1.9189565932,0.2930628353,0.0000000000,0.0000000000,0.0000000000,0.0306320120,0.0700000000,0.1527921463,0,adaptive_normal,-15.1506873141,-16.9687697918,0.9989328265,0.7926352974,0.0250544237,0.9749455763,0.5447209908,0.0840954472,1
