active_emergency_steps,assessment_insufficient_evidence_steps,assessment_no_candidate_steps,assessment_plan_found_steps,budget_exhausted_steps,case_comparator,cohort,controller,effective_emergency_steps,environment_seed,episode,final_active_mode,final_assessment_status,final_biosphere,final_effective_mode,final_institution,final_justice,final_pressure,final_selected_plan_mode,final_trust,first_irreversible_step,irreversible_entry,justice_floor_violation,master_seed,max_public_forecast_overshoot,max_unknown_streak,min_estimated_cr,min_justice,min_projected_boundary_margin,min_projected_final_budget,no_candidate_boundary_steps,no_candidate_braking_steps,no_candidate_budget_steps,phase,public_forecast_checked_steps,public_forecast_miss_steps,remaining_budget,requested_emergency_steps,requested_normal_steps,requested_precaution_steps,scenario,selected_plan_emergency_steps,selected_plan_normal_steps,selected_plan_precaution_steps,total_cost,trigger,true_boundary,unknown_steps
26,,,,0,,primary,reserve,22,9739973216299283601,0,2,,0.562707323,2,0.640169521,0.807560256,0.706083346,,0.989078187,-1,0,0,401,,0,-8.734587324,0.66828397,,,,,,evaluation,,,0.1996,29,34,9,baseline,,,,3.8004,reserve,1.085376579,0
67,0,66,6,23,,primary,sustained_reserve,41,9739973216299283601,0,2,no_candidate_plan_within_declared_model,0.773111519,2,0.591848284,0.951878513,0.372805813,,0.842898601,-1,0,0,401,0.04446713,0,3.867281767,0.671377532,-0.821102625,0.0,37,66,48,evaluation,71,8,0.0,70,0,2,baseline,4,0,2,4.0,sustained_reserve,1.085376579,0
50,,,,12,,primary,reserve,36,497360197865448171,1,2,,0.486922163,2,0.150862667,0.753322655,0.983265027,,0.843371241,-1,0,0,401,,0,-9.170306846,0.610618533,,,,,,evaluation,,,0.0,53,18,1,baseline,,,,4.0,reserve,1.095106971,0
67,0,68,4,23,,primary,sustained_reserve,41,497360197865448171,1,2,no_candidate_plan_within_declared_model,0.637653895,2,0.184883857,0.819461432,0.747219766,,0.772900587,-1,0,0,401,0.072678357,0,-1.839161115,0.623117061,-0.9007647,0.0,56,68,48,evaluation,71,9,0.0,70,0,2,baseline,2,0,2,4.0,sustained_reserve,1.095106971,0
21,,,,0,,primary,reserve,21,15804009067095553024,2,1,,0.539919639,0,0.631750022,0.942046976,0.700621228,,1.0,-1,0,0,401,,0,-2.691659973,0.666268948,,,,,,evaluation,,,0.1218,23,38,11,baseline,,,,3.8782,reserve,0.991186596,0
66,0,67,5,23,,primary,sustained_reserve,40,15804009067095553024,2,2,no_candidate_plan_within_declared_model,0.777202639,2,0.574039107,0.960762248,0.365966639,,0.841670838,-1,0,0,401,0.064364887,0,-2.45351883,0.667351804,-0.487237436,0.0,33,67,48,evaluation,71,9,0.0,69,0,3,baseline,2,0,3,4.0,sustained_reserve,0.991186596,0
24,,,,9,,primary,reserve,18,14732801067571324980,3,2,,0.508227005,2,0.339075597,0.548400567,0.786781118,,0.847099829,-1,0,0,401,,0,-10.364594795,0.548400567,,,,,,evaluation,,,0.0,27,22,23,baseline,,,,4.0,reserve,1.09696195,0
68,0,66,6,23,,primary,sustained_reserve,42,14732801067571324980,3,2,no_candidate_plan_within_declared_model,0.697114699,2,0.441820977,0.755585081,0.485950249,,0.793037711,-1,0,0,401,0.066623741,0,0.117648338,0.648931934,-0.859209453,0.0,49,65,48,evaluation,71,8,0.0,71,0,1,baseline,5,0,1,4.0,sustained_reserve,1.09696195,0
32,,,,0,,primary,reserve,28,10355017696138457399,4,2,,0.552220609,2,0.503349582,0.725253874,0.782278282,,0.946481406,-1,0,0,401,,0,-9.210876027,0.641234388,,,,,,evaluation,,,0.079,35,34,3,baseline,,,,3.921,reserve,0.941465469,0
66,0,65,7,23,,primary,sustained_reserve,40,10355017696138457399,4,2,no_candidate_plan_within_declared_model,0.751222727,2,0.460078031,0.851665368,0.470114541,,0.802785194,-1,0,0,401,0.052956967,0,-0.824558556,0.650540168,-0.768598242,0.0,38,64,48,evaluation,71,12,0.0,69,0,3,baseline,4,0,3,4.0,sustained_reserve,0.941465469,0
