active_mode,assessment_status,attempted_capture,backlash,biosphere,boundary_uncertainty,budget_exhausted,case_comparator,cohort,command_audit,command_policy,command_support,controller,cooperation_rate,curtailment_factor,defective_rate,effective_audit,effective_capture,effective_mode,effective_policy,effective_support,environment_seed,episode,estimated_cr,estimated_response_steps,evidence_status,execution_semantics,institution,irreversible,justice,master_seed,nominal_cost,normal_release_streak,observed_at_step,observed_pressure,observed_trend,pending_due_step,pending_effect_count,pending_mode,pending_transition_count,perceived_improvement,performative_gap,phase,precaution_release_streak,pressure,pressure_before,projected_boundary_margin,projected_braking_steps_met,projected_final_budget,projected_max_pressure,projected_next_pressure_upper,projected_total_cost,projection_mode,projection_passes,projection_reasons,public_forecast_checked,public_forecast_miss,public_forecast_overshoot,reason,release_streak,remaining_budget,requested_mode,response_status,scenario,selected_plan_mode,step_cost,t,trigger,true_boundary,trust,unknown_streak
0,plan_found_within_declared_model,0.316514105,0.0,0.815636162,0.24,0,,primary,0.12,0.12,0.12,sustained_reserve,0.105313802,1.0,0.894686198,0.0,0.097761955,0,0.0,0.0,9739973216299283601,0,49.187894359,14.0,sufficient_evidence,receding_horizon_first_request_only_reassess_each_observation,0.633512837,0,0.679388388,401,0.0,0,0,0.265204826,0.009,3,1,1,1,0.0,0.589289162,evaluation,0,0.317133915,0.3,0.384891049,6,2.7852,0.429004826,0.322204826,1.2148,1,1,,0,0,0.0,lowest_passing_constant_mode_with_v03_reserve_floor,0,4.0,1,available,baseline,1,0.0,0,sustained_reserve,1.085376579,0.691673518,0
0,plan_found_within_declared_model,0.263678061,0.0,0.809122659,0.24,0,,primary,0.24,0.14,0.18,sustained_reserve,0.272537657,1.0,0.727462343,0.0,0.081455063,0,0.0,0.0,9739973216299283601,0,17.18214886,14.0,sufficient_evidence,receding_horizon_first_request_only_reassess_each_observation,0.626570097,0,0.676933963,401,0.0,0,1,0.30115425,0.017084827,3,2,1,2,0.0,0.487076685,evaluation,0,0.337058184,0.317133915,0.283808526,6,2.368,0.53008735,0.366239077,1.632,2,1,,1,0,0.0,lowest_passing_constant_mode_with_v03_reserve_floor,0,4.0,2,available,baseline,2,0.0,1,sustained_reserve,1.085376579,0.683486371,0
0,plan_found_within_declared_model,0.324227666,0.0,0.804896495,0.24,0,,primary,0.36,0.14,0.18,sustained_reserve,0.068669827,1.0,0.931330173,0.0,0.100222276,0,0.0,0.0,9739973216299283601,0,16.25683176,14.0,sufficient_evidence,receding_horizon_first_request_only_reassess_each_observation,0.620237051,0,0.676760478,401,0.0,0,2,0.318112459,0.017046842,3,3,1,2,0.0,0.633525151,evaluation,0,0.357052277,0.337058184,0.292315001,6,2.2696,0.521580874,0.3831593,1.7304,2,1,,1,0,0.0,lowest_passing_constant_mode_with_v03_reserve_floor,1,4.0,2,available,baseline,2,0.0,2,sustained_reserve,1.085376579,0.67489982,0
1,plan_found_within_declared_model,0.315744683,0.0,0.799152995,0.24,0,,primary,0.48,0.26,0.3,sustained_reserve,0.11175508,1.0,0.88824492,0.0,0.097604386,0,0.0,0.0,9739973216299283601,0,15.153415799,14.0,sufficient_evidence,receding_horizon_first_request_only_reassess_each_observation,0.613390563,0,0.675465579,401,0.0,0,3,0.335340186,0.017101107,4,4,2,1,0.0,0.584892371,evaluation,0,0.375947549,0.357052277,0.299645725,6,2.1712,0.514250151,0.400441293,1.8288,2,1,,1,0,0.0,lowest_passing_constant_mode_with_v03_reserve_floor,2,4.0,2,available,baseline,2,0.0,3,sustained_reserve,1.085376579,0.66617194,0
2,plan_found_within_declared_model,0.378132394,0.014152438,0.791948914,0.24,0,,primary,0.6,0.38,0.42,sustained_reserve,0.10140899,1.0,0.89859101,0.12,0.111381769,0,0.12,0.12,9739973216299283601,0,39.254578118,14.0,sufficient_evidence,receding_horizon_first_request_only_reassess_each_observation,0.605603233,0,0.672640633,401,0.0132,0,4,0.3271557,0.009515429,7,4,1,1,0.008184486,0.550300087,evaluation,0,0.402208867,0.375947549,0.387847599,6,2.4902,0.426048276,0.381071129,1.5098,1,1,,1,0,0.0,lowest_passing_constant_mode_with_v03_reserve_floor,0,3.9868,1,available,baseline,1,0.0132,4,sustained_reserve,1.085376579,0.658761954,0
2,no_candidate_plan_within_declared_model,0.281414923,0.00896186,0.787201089,0.24,0,,primary,0.72,0.5,0.54,sustained_reserve,0.364370919,1.0,0.635629081,0.24,0.079153072,0,0.14,0.18,9739973216299283601,0,3.867281767,13.0,sufficient_evidence,receding_horizon_first_request_only_reassess_each_observation,0.600329248,0,0.672179811,401,0.0186,0,5,0.392234671,0.026184492,7,4,1,2,0.0,0.380423252,evaluation,0,0.414169883,0.402208867,-0.042766603,0,1.9998,0.856662479,0.468219163,1.987,2,0,pressure_not_strictly_below_declared_boundary|final_braking_window_not_met,1,1,0.011163542,loss_limiting_emergency_request_no_candidate_within_declared_model,0,3.9682,2,available,baseline,,0.0186,5,sustained_reserve,1.085376579,0.655909691,0
2,no_candidate_plan_within_declared_model,0.32248129,0.008968311,0.782026217,0.24,0,,primary,0.84,0.62,0.66,sustained_reserve,0.248737117,1.0,0.751262883,0.36,0.086762513,0,0.14,0.18,9739973216299283601,0,9.568164128,13.0,sufficient_evidence,receding_horizon_first_request_only_reassess_each_observation,0.595529257,0,0.671977025,401,0.021,0,6,0.395838847,0.019410397,7,4,1,2,0.0,0.405896681,evaluation,0,0.435506656,0.414169883,0.115307497,0,1.9014,0.698588378,0.466049244,2.0668,2,0,final_braking_window_not_met,1,0,0.0,loss_limiting_emergency_request_no_candidate_within_declared_model,0,3.9472,2,available,baseline,,0.021,6,sustained_reserve,1.085376579,0.652857686,0
1,no_candidate_plan_within_declared_model,0.402205677,0.015463202,0.776156585,0.24,0,,primary,0.86,0.65,0.56,sustained_reserve,0.248167923,1.0,0.751832077,0.48,0.103164018,1,0.26,0.3,9739973216299283601,0,5.712694512,13.0,sufficient_evidence,receding_horizon_first_request_only_reassess_each_observation,0.590102708,0,0.671377532,401,0.0342,0,7,0.42362956,0.021924492,8,4,2,1,0.0,0.357427674,evaluation,0,0.453813662,0.435506656,0.050278515,0,1.803,0.763617361,0.492754051,2.1442,2,0,final_braking_window_not_met,1,0,0.0,loss_limiting_emergency_request_no_candidate_within_declared_model,0,3.913,2,available,baseline,,0.0342,7,sustained_reserve,1.085376579,0.651753481,0
2,no_candidate_plan_within_declared_model,0.310597905,0.016201348,0.773071016,0.24,0,,primary,0.96,0.77,0.68,sustained_reserve,0.548955277,1.0,0.451044723,0.6,0.075934689,2,0.38,0.42,9739973216299283601,0,14.676993013,12.0,sufficient_evidence,receding_horizon_first_request_only_reassess_each_observation,0.586647748,0,0.672808352,401,0.0474,0,8,0.423724045,0.01537549,,4,,0,0.0,0.249540068,evaluation,0,0.463083288,0.453813662,0.082860078,0,1.7046,0.731035797,0.488699534,2.2084,2,0,final_braking_window_not_met,1,0,0.0,loss_limiting_emergency_request_no_candidate_within_declared_model,1,3.8656,2,available,baseline,,0.0474,8,sustained_reserve,1.085376579,0.655104455,0
2,no_candidate_plan_within_declared_model,0.085126271,0.01107568,0.770993496,0.24,0,,primary,0.96,0.89,0.8,sustained_reserve,0.902198024,1.0,0.097801976,0.72,0.019825841,2,0.5,0.54,9739973216299283601,0,30.466907982,11.0,sufficient_evidence,receding_horizon_first_request_only_reassess_each_observation,0.58546197,0,0.675242224,401,0.0606,0,9,0.421035817,0.009956374,,4,,0,0.002688228,0.137985891,evaluation,0,0.46311498,0.463083288,0.087507075,0,1.6062,0.726388801,0.482992191,2.2594,2,0,final_braking_window_not_met,1,0,0.0,loss_limiting_emergency_request_no_candidate_within_declared_model,2,3.805,2,available,baseline,,0.0606,9,sustained_reserve,1.085376579,0.662320514,0
2,no_candidate_plan_within_declared_model,0.139938136,7.6796e-05,0.769821393,0.24,0,,primary,0.96,0.91,0.82,sustained_reserve,0.81833592,1.0,0.18166408,0.84,0.031042325,2,0.62,0.66,9739973216299283601,0,18.376908234,10.0,sufficient_evidence,receding_horizon_first_request_only_reassess_each_observation,0.585339969,0,0.680650926,401,0.0738,0,10,0.443645575,0.01375239,,4,,0,0.0,0.152495363,evaluation,0,0.466194489,0.46311498,-0.157907052,0,1.5078,0.971802928,0.511797965,2.2972,2,0,pressure_not_strictly_below_declared_boundary|final_braking_window_not_met,1,0,0.0,loss_limiting_emergency_request_no_candidate_within_declared_model,0,3.7312,2,available,baseline,,0.0738,10,sustained_reserve,1.085376579,0.672420586,0
